年龄,是否离职,出差频率,日薪,部门,离家距离,教育程度,教育领域,员工计数,员工编号,环境满意度,性别,时薪,工作投入度,职位等级,职位角色,工作满意度,婚姻状况,月收入,月费率,曾工作公司数,是否满18岁,是否加班,薪资涨幅百分比,绩效评级,关系满意度,标准工时,股票期权等级,总工作年限,去年培训次数,工作生活平衡,本公司工作年限,现任职位年限,上次晋升至今年限,现任经理共事年限
36,是,偶尔出差,1218,Sales,9,4,Life Sciences,1,27,3,男,82,2,1,Sales Representative,1,单身,3407,6986,7,Y,否,23,4,2,80,0,10,4,3,5,3,0,3
34,否,偶尔出差,419,Research & Development,7,4,Life Sciences,1,28,1,女,53,3,3,Research Director,2,单身,11994,21293,0,Y,否,11,3,3,80,0,13,4,3,12,6,2,11
21,否,偶尔出差,391,Research & Development,15,2,Life Sciences,1,30,3,男,96,3,1,Research Scientist,4,单身,1232,19281,1,Y,否,14,3,4,80,0,0,6,3,0,0,0,0
34,是,偶尔出差,699,Research & Development,6,1,Medical,1,31,2,男,83,3,1,Research Scientist,1,单身,2960,17102,2,Y,否,11,3,3,80,0,8,2,3,4,2,1,3
53,否,偶尔出差,1282,Research & Development,5,3,Other,1,32,3,女,58,3,5,Manager,3,离异,19094,10735,4,Y,否,11,3,4,80,1,26,3,2,14,13,4,8
32,是,经常出差,1125,Research & Development,16,1,Life Sciences,1,33,2,女,72,1,1,Research Scientist,1,单身,3919,4681,1,Y,是,22,4,2,80,0,10,5,3,10,2,6,7
42,否,偶尔出差,691,Sales,8,4,Marketing,1,35,3,男,48,3,2,Sales Executive,2,已婚,6825,21173,0,Y,否,11,3,4,80,1,10,2,3,9,7,4,2
44,否,偶尔出差,477,Research & Development,7,4,Medical,1,36,1,女,42,2,3,Healthcare Representative,4,已婚,10248,2094,3,Y,否,14,3,4,80,1,24,4,3,22,6,5,17
46,否,偶尔出差,705,Sales,2,4,Marketing,1,38,2,女,83,3,5,Manager,1,单身,18947,22822,3,Y,否,12,3,4,80,0,22,2,2,2,2,2,1
33,否,偶尔出差,924,Research & Development,2,3,Medical,1,39,3,男,78,3,1,Laboratory Technician,4,单身,2496,6670,4,Y,否,11,3,4,80,0,7,3,3,1,1,0,0
44,否,偶尔出差,1459,Research & Development,10,4,Other,1,40,4,男,41,3,2,Healthcare Representative,4,已婚,6465,19121,2,Y,是,13,3,4,80,0,9,5,4,4,2,1,3
30,否,偶尔出差,125,Research & Development,9,2,Medical,1,41,4,男,83,2,1,Laboratory Technician,3,单身,2206,16117,1,Y,否,13,3,1,80,0,10,5,3,10,0,1,8
39,是,偶尔出差,895,Sales,5,3,Technical Degree,1,42,4,男,56,3,2,Sales Representative,4,已婚,2086,3335,3,Y,否,14,3,3,80,1,19,6,4,1,0,0,0
24,是,偶尔出差,813,Research & Development,1,3,Medical,1,45,2,男,61,3,1,Research Scientist,4,已婚,2293,3020,2,Y,是,16,3,1,80,1,6,2,2,2,0,2,0
43,否,偶尔出差,1273,Research & Development,2,2,Medical,1,46,4,女,72,4,1,Research Scientist,3,离异,2645,21923,1,Y,否,12,3,4,80,2,6,3,2,5,3,1,4
50,是,偶尔出差,869,Sales,3,2,Marketing,1,47,1,男,86,2,1,Sales Representative,3,已婚,2683,3810,1,Y,是,14,3,3,80,0,3,2,3,3,2,0,2
35,否,偶尔出差,890,Sales,2,3,Marketing,1,49,4,女,97,3,1,Sales Representative,4,已婚,2014,9687,1,Y,否,13,3,1,80,0,2,3,3,2,2,2,2
36,否,偶尔出差,852,Research & Development,5,4,Life Sciences,1,51,2,女,82,2,1,Research Scientist,1,已婚,3419,13072,9,Y,是,14,3,4,80,1,6,3,4,1,1,0,0
33,否,经常出差,1141,Sales,1,3,Life Sciences,1,52,3,女,42,4,2,Sales Executive,1,已婚,5376,3193,2,Y,否,19,3,1,80,2,10,3,3,5,3,1,3
35,否,偶尔出差,464,Research & Development,4,2,Other,1,53,3,男,75,3,1,Laboratory Technician,4,离异,1951,10910,1,Y,否,12,3,3,80,1,1,3,3,1,0,0,0
27,否,偶尔出差,1240,Research & Development,2,4,Life Sciences,1,54,4,女,33,3,1,Laboratory Technician,1,离异,2341,19715,1,Y,否,13,3,4,80,1,1,6,3,1,0,0,0
26,是,偶尔出差,1357,Research & Development,25,3,Life Sciences,1,55,1,男,48,1,1,Laboratory Technician,3,单身,2293,10558,1,Y,否,12,3,3,80,0,1,2,2,1,0,0,1
27,否,经常出差,994,Sales,8,3,Life Sciences,1,56,4,男,37,3,3,Sales Executive,3,单身,8726,2975,1,Y,否,15,3,4,80,0,9,0,3,9,8,1,7
30,否,经常出差,721,Research & Development,1,2,Medical,1,57,3,女,58,3,2,Laboratory Technician,4,单身,4011,10781,1,Y,否,23,4,4,80,0,12,2,3,12,8,3,7
41,是,偶尔出差,1360,Research & Development,12,3,Technical Degree,1,58,2,女,49,3,5,Research Director,3,已婚,19545,16280,1,Y,否,12,3,4,80,0,23,0,3,22,15,15,8
34,否,不出差,1065,Sales,23,4,Marketing,1,60,2,男,72,3,2,Sales Executive,3,单身,4568,10034,0,Y,否,20,4,3,80,0,10,2,3,9,5,8,7
37,否,偶尔出差,408,Research & Development,19,2,Life Sciences,1,61,2,男,73,3,1,Research Scientist,2,已婚,3022,10227,4,Y,否,21,4,1,80,0,8,1,3,1,0,0,0
46,否,经常出差,1211,Sales,5,4,Marketing,1,62,1,男,98,3,2,Sales Executive,4,单身,5772,20445,4,Y,是,21,4,3,80,0,14,4,3,9,6,0,8
35,否,偶尔出差,1229,Research & Development,8,1,Life Sciences,1,63,4,男,36,4,1,Laboratory Technician,4,已婚,2269,4892,1,Y,否,19,3,4,80,0,1,2,3,1,0,0,1
48,是,偶尔出差,626,Research & Development,1,2,Life Sciences,1,64,1,男,98,2,3,Laboratory Technician,3,单身,5381,19294,9,Y,是,13,3,4,80,0,23,2,3,1,0,0,0
28,是,偶尔出差,1434,Research & Development,5,4,Technical Degree,1,65,3,男,50,3,1,Laboratory Technician,3,单身,3441,11179,1,Y,是,13,3,3,80,0,2,3,2,2,2,2,2
44,否,偶尔出差,1488,Sales,1,5,Marketing,1,68,2,女,75,3,2,Sales Executive,1,离异,5454,4009,5,Y,是,21,4,3,80,1,9,2,2,4,3,1,3
35,否,不出差,1097,Research & Development,11,2,Medical,1,70,3,男,79,2,3,Healthcare Representative,1,已婚,9884,8302,2,Y,是,13,3,3,80,1,10,3,3,4,0,2,3
26,否,偶尔出差,1443,Sales,23,3,Marketing,1,72,3,女,47,2,2,Sales Executive,4,已婚,4157,21436,7,Y,是,19,3,3,80,1,5,2,2,2,2,0,0
33,否,经常出差,515,Research & Development,1,2,Life Sciences,1,73,1,女,98,3,3,Research Director,4,单身,13458,15146,1,Y,是,12,3,3,80,0,15,1,3,15,14,8,12
35,否,经常出差,853,Sales,18,5,Life Sciences,1,74,2,男,71,3,3,Sales Executive,1,已婚,9069,11031,1,Y,否,22,4,4,80,1,9,3,2,9,8,1,8
35,否,偶尔出差,1142,Research & Development,23,4,Medical,1,75,3,女,30,3,1,Laboratory Technician,1,已婚,4014,16002,3,Y,是,15,3,3,80,1,4,3,3,2,2,2,2
31,否,偶尔出差,655,Research & Development,7,4,Life Sciences,1,76,4,男,48,3,2,Laboratory Technician,4,离异,5915,9528,3,Y,否,22,4,4,80,1,10,3,2,7,7,1,7
37,否,偶尔出差,1115,Research & Development,1,4,Life Sciences,1,77,1,男,51,2,2,Manufacturing Director,3,离异,5993,2689,1,Y,否,18,3,3,80,1,7,2,4,7,5,0,7
32,否,偶尔出差,427,Research & Development,1,3,Medical,1,78,1,男,33,3,2,Manufacturing Director,4,已婚,6162,10877,1,Y,是,22,4,2,80,1,9,3,3,9,8,7,8
38,否,经常出差,653,Research & Development,29,5,Life Sciences,1,79,4,女,50,3,2,Laboratory Technician,4,单身,2406,5456,1,Y,否,11,3,4,80,0,10,2,3,10,3,9,9
50,否,偶尔出差,989,Research & Development,7,2,Medical,1,80,2,女,43,2,5,Research Director,3,离异,18740,16701,5,Y,是,12,3,4,80,1,29,2,2,27,3,13,8
59,否,偶尔出差,1435,Sales,25,3,Life Sciences,1,81,1,女,99,3,3,Sales Executive,1,单身,7637,2354,7,Y,否,11,3,4,80,0,28,3,2,21,16,7,9
36,否,偶尔出差,1223,Research & Development,8,3,Technical Degree,1,83,3,女,59,3,3,Healthcare Representative,3,离异,10096,8202,1,Y,否,13,3,2,80,3,17,2,3,17,14,12,8
55,否,偶尔出差,836,Research & Development,8,3,Medical,1,84,4,女,33,3,4,Manager,3,离异,14756,19730,2,Y,是,14,3,3,80,3,21,2,3,5,0,0,2
36,否,经常出差,1195,Research & Development,11,3,Life Sciences,1,85,2,男,95,2,2,Manufacturing Director,2,单身,6499,22656,1,Y,否,13,3,3,80,0,6,3,3,6,5,0,3
45,否,偶尔出差,1339,Research & Development,7,3,Life Sciences,1,86,2,男,59,3,3,Research Scientist,1,离异,9724,18787,2,Y,否,17,3,3,80,1,25,2,3,1,0,0,0
35,否,经常出差,664,Research & Development,1,3,Medical,1,88,2,男,79,3,1,Research Scientist,1,已婚,2194,5868,4,Y,否,13,3,4,80,1,5,2,2,3,2,1,2
36,是,偶尔出差,318,Research & Development,9,3,Medical,1,90,4,男,79,2,1,Research Scientist,3,已婚,3388,21777,0,Y,是,17,3,1,80,1,2,0,2,1,0,0,0
59,否,经常出差,1225,Sales,1,1,Life Sciences,1,91,1,女,57,2,2,Sales Executive,3,单身,5473,24668,7,Y,否,11,3,4,80,0,20,2,2,4,3,1,3
29,否,偶尔出差,1328,Research & Development,2,3,Life Sciences,1,94,3,男,76,3,1,Research Scientist,2,已婚,2703,4956,0,Y,否,23,4,4,80,1,6,3,3,5,4,0,4
31,否,偶尔出差,1082,Research & Development,1,4,Medical,1,95,3,男,87,3,1,Research Scientist,2,单身,2501,18775,1,Y,否,17,3,2,80,0,1,4,3,1,1,1,0
32,否,偶尔出差,548,Research & Development,1,3,Life Sciences,1,96,2,男,66,3,2,Research Scientist,2,已婚,6220,7346,1,Y,否,17,3,2,80,2,10,3,3,10,4,0,9
36,否,偶尔出差,132,Research & Development,6,3,Life Sciences,1,97,2,女,55,4,1,Laboratory Technician,4,已婚,3038,22002,3,Y,否,12,3,2,80,0,5,3,3,1,0,0,0
31,否,偶尔出差,746,Research & Development,8,4,Life Sciences,1,98,3,女,61,3,2,Manufacturing Director,4,单身,4424,20682,1,Y,否,23,4,4,80,0,11,2,3,11,7,1,8
35,否,偶尔出差,776,Sales,1,4,Marketing,1,100,3,男,32,2,2,Sales Executive,1,单身,4312,23016,0,Y,否,14,3,2,80,0,16,2,3,15,13,2,8
45,否,偶尔出差,193,Research & Development,6,4,Other,1,101,4,男,52,3,3,Research Director,1,已婚,13245,15067,4,Y,是,14,3,2,80,0,17,3,4,0,0,0,0
37,否,偶尔出差,397,Research & Development,7,4,Medical,1,102,1,男,30,3,3,Research Director,3,单身,13664,25258,4,Y,否,13,3,1,80,0,16,3,4,5,2,0,2
46,否,偶尔出差,945,Human Resources,5,2,Medical,1,103,2,男,80,3,2,Human Resources,2,离异,5021,10425,8,Y,是,22,4,4,80,1,16,2,3,4,2,0,2
30,否,偶尔出差,852,Research & Development,1,1,Life Sciences,1,104,4,男,55,2,2,Laboratory Technician,4,已婚,5126,15998,1,Y,是,12,3,3,80,2,10,1,2,10,8,3,0
35,否,偶尔出差,1214,Research & Development,1,3,Medical,1,105,2,男,30,2,1,Research Scientist,3,单身,2859,26278,1,Y,否,18,3,1,80,0,6,3,3,6,4,0,4
55,否,偶尔出差,111,Sales,1,2,Life Sciences,1,106,1,男,70,3,3,Sales Executive,4,已婚,10239,18092,3,Y,否,14,3,4,80,1,24,4,3,1,0,1,0
38,否,不出差,573,Research & Development,6,3,Medical,1,107,2,女,79,1,2,Research Scientist,4,离异,5329,15717,7,Y,是,12,3,4,80,3,17,3,3,13,11,1,9
34,否,偶尔出差,1153,Research & Development,1,2,Medical,1,110,1,男,94,3,2,Manufacturing Director,2,已婚,4325,17736,1,Y,否,15,3,3,80,0,5,2,3,5,2,1,3
56,否,偶尔出差,1400,Research & Development,7,3,Life Sciences,1,112,4,男,49,1,3,Manufacturing Director,4,单身,7260,21698,4,Y,否,11,3,1,80,0,37,3,2,6,4,0,2
23,否,偶尔出差,541,Sales,2,1,Technical Degree,1,113,3,男,62,3,1,Sales Representative,1,离异,2322,9518,3,Y,否,13,3,3,80,1,3,3,3,0,0,0,0
51,否,偶尔出差,432,Research & Development,9,4,Life Sciences,1,116,4,男,96,3,1,Laboratory Technician,4,已婚,2075,18725,3,Y,否,23,4,2,80,2,10,4,3,4,2,0,3
30,否,偶尔出差,288,Research & Development,2,3,Life Sciences,1,117,3,男,99,2,2,Healthcare Representative,4,已婚,4152,15830,1,Y,否,19,3,1,80,3,11,3,3,11,10,10,8
46,是,偶尔出差,669,Sales,9,2,Medical,1,118,3,男,64,2,3,Sales Executive,4,单身,9619,13596,1,Y,否,16,3,4,80,0,9,3,3,9,8,4,7
40,否,经常出差,530,Research & Development,1,4,Life Sciences,1,119,3,男,78,2,4,Healthcare Representative,2,已婚,13503,14115,1,Y,否,22,4,4,80,1,22,3,2,22,3,11,11
51,否,偶尔出差,632,Sales,21,4,Marketing,1,120,3,男,71,3,2,Sales Executive,4,单身,5441,8423,0,Y,是,22,4,4,80,0,11,2,1,10,7,1,0
30,否,偶尔出差,1334,Sales,4,2,Medical,1,121,3,女,63,2,2,Sales Executive,2,离异,5209,19760,1,Y,是,12,3,2,80,3,11,4,2,11,8,2,7
46,否,经常出差,638,Research & Development,1,3,Medical,1,124,3,男,40,2,3,Healthcare Representative,1,已婚,10673,3142,2,Y,是,13,3,3,80,1,21,5,2,10,9,9,5
32,否,偶尔出差,1093,Sales,6,4,Medical,1,125,2,男,87,3,2,Sales Executive,3,单身,5010,24301,1,Y,否,16,3,1,80,0,12,0,3,11,8,5,7
54,否,偶尔出差,1217,Research & Development,2,4,Technical Degree,1,126,1,女,60,3,3,Research Director,3,已婚,13549,24001,9,Y,否,12,3,1,80,1,16,5,1,4,3,0,3
24,否,偶尔出差,1353,Sales,3,2,Other,1,128,1,女,33,3,2,Sales Executive,3,已婚,4999,17519,0,Y,否,21,4,1,80,1,4,2,2,3,2,0,2
28,否,不出差,120,Sales,4,3,Medical,1,129,2,男,43,3,2,Sales Executive,3,已婚,4221,8863,1,Y,否,15,3,2,80,0,5,3,4,5,4,0,4
58,否,偶尔出差,682,Sales,10,4,Medical,1,131,4,男,37,3,4,Sales Executive,3,单身,13872,24409,0,Y,否,13,3,3,80,0,38,1,2,37,10,1,8
44,否,不出差,489,Research & Development,23,3,Medical,1,132,2,男,67,3,2,Laboratory Technician,2,已婚,2042,25043,4,Y,否,12,3,3,80,1,17,3,4,3,2,1,2
37,是,偶尔出差,807,Human Resources,6,4,Human Resources,1,133,3,男,63,3,1,Human Resources,1,离异,2073,23648,4,Y,是,22,4,4,80,0,7,3,3,3,2,0,2
32,否,偶尔出差,827,Research & Development,1,1,Life Sciences,1,134,4,男,71,3,1,Research Scientist,1,单身,2956,15178,1,Y,否,13,3,4,80,0,1,2,3,1,0,0,0
20,是,经常出差,871,Research & Development,6,3,Life Sciences,1,137,4,女,66,2,1,Laboratory Technician,4,单身,2926,19783,1,Y,是,18,3,2,80,0,1,5,3,1,0,1,0
34,否,偶尔出差,665,Research & Development,6,4,Other,1,138,1,女,41,3,2,Research Scientist,3,单身,4809,12482,1,Y,否,14,3,3,80,0,16,3,3,16,13,2,10
37,否,不出差,1040,Research & Development,2,2,Life Sciences,1,139,3,男,100,2,2,Healthcare Representative,4,离异,5163,15850,5,Y,否,14,3,4,80,1,17,2,4,1,0,0,0
59,否,不出差,1420,Human Resources,2,4,Human Resources,1,140,3,女,32,2,5,Manager,4,已婚,18844,21922,9,Y,否,21,4,4,80,1,30,3,3,3,2,2,2
50,否,经常出差,1115,Research & Development,1,3,Life Sciences,1,141,1,女,73,3,5,Research Director,2,已婚,18172,9755,3,Y,是,19,3,1,80,0,28,1,2,8,3,0,7
25,是,偶尔出差,240,Sales,5,3,Marketing,1,142,3,男,46,2,2,Sales Executive,3,单身,5744,26959,1,Y,是,11,3,4,80,0,6,1,3,6,4,0,3
25,否,偶尔出差,1280,Research & Development,7,1,Medical,1,143,4,男,64,2,1,Research Scientist,4,已婚,2889,26897,1,Y,否,11,3,3,80,2,2,2,3,2,2,2,1
22,否,偶尔出差,534,Research & Development,15,3,Medical,1,144,2,女,59,3,1,Laboratory Technician,4,单身,2871,23785,1,Y,否,15,3,3,80,0,1,5,3,0,0,0,0
51,否,经常出差,1456,Research & Development,1,4,Medical,1,145,1,女,30,2,3,Healthcare Representative,1,单身,7484,25796,3,Y,否,20,4,3,80,0,23,1,2,13,12,12,8
34,是,经常出差,658,Research & Development,7,3,Life Sciences,1,147,1,男,66,1,2,Laboratory Technician,3,单身,6074,22887,1,Y,是,24,4,4,80,0,9,3,3,9,7,0,6
54,否,不出差,142,Human Resources,26,3,Human Resources,1,148,4,女,30,4,4,Manager,4,单身,17328,13871,2,Y,是,12,3,3,80,0,23,3,3,5,3,4,4
24,否,偶尔出差,1127,Research & Development,18,1,Life Sciences,1,150,2,男,52,3,1,Laboratory Technician,3,已婚,2774,13257,0,Y,否,12,3,3,80,1,6,2,3,5,3,1,2
34,否,偶尔出差,1031,Research & Development,6,4,Life Sciences,1,151,3,女,45,2,2,Research Scientist,2,离异,4505,15000,6,Y,否,15,3,3,80,1,12,3,3,1,0,0,0
37,否,偶尔出差,1189,Sales,3,3,Life Sciences,1,152,3,男,87,3,3,Sales Executive,4,单身,7428,14506,2,Y,否,12,3,1,80,0,12,3,3,5,3,1,3
34,否,偶尔出差,1354,Research & Development,5,3,Medical,1,153,3,女,45,2,3,Manager,1,单身,11631,5615,2,Y,否,12,3,4,80,0,14,6,3,11,10,5,8
36,否,经常出差,1467,Sales,11,2,Technical Degree,1,154,2,女,92,3,3,Sales Executive,4,已婚,9738,22952,0,Y,否,14,3,3,80,1,10,6,3,9,7,2,8
36,否,偶尔出差,922,Research & Development,3,2,Life Sciences,1,155,1,女,39,3,1,Laboratory Technician,4,离异,2835,2561,5,Y,否,22,4,1,80,1,7,2,3,1,0,0,0
43,否,经常出差,394,Sales,26,2,Life Sciences,1,158,3,男,92,3,4,Manager,4,已婚,16959,19494,1,Y,是,12,3,4,80,2,25,3,4,25,12,4,12
30,否,经常出差,1312,Research & Development,23,3,Life Sciences,1,159,1,男,96,1,1,Research Scientist,3,离异,2613,22310,1,Y,否,25,4,3,80,3,10,2,2,10,7,0,9
33,否,不出差,750,Sales,22,2,Marketing,1,160,3,男,95,3,2,Sales Executive,2,已婚,6146,15480,0,Y,否,13,3,1,80,1,8,2,4,7,7,0,7
56,是,偶尔出差,441,Research & Development,14,4,Life Sciences,1,161,2,女,72,3,1,Research Scientist,2,已婚,4963,4510,9,Y,是,18,3,1,80,3,7,2,3,5,4,4,3
51,否,偶尔出差,684,Research & Development,6,3,Life Sciences,1,162,1,男,51,3,5,Research Director,3,单身,19537,6462,7,Y,否,13,3,3,80,0,23,5,3,20,18,15,15
31,是,偶尔出差,249,Sales,6,4,Life Sciences,1,163,2,男,76,1,2,Sales Executive,3,已婚,6172,20739,4,Y,是,18,3,2,80,0,12,3,2,7,7,7,7
26,否,偶尔出差,841,Research & Development,6,3,Other,1,164,3,女,46,2,1,Research Scientist,2,已婚,2368,23300,1,Y,否,19,3,3,80,0,5,3,2,5,4,4,3
58,是,偶尔出差,147,Research & Development,23,4,Medical,1,165,4,女,94,3,3,Healthcare Representative,4,已婚,10312,3465,1,Y,否,12,3,4,80,1,40,3,2,40,10,15,6
19,是,偶尔出差,528,Sales,22,1,Marketing,1,167,4,男,50,3,1,Sales Representative,3,单身,1675,26820,1,Y,是,19,3,4,80,0,0,2,2,0,0,0,0
22,否,偶尔出差,594,Research & Development,2,1,Technical Degree,1,169,3,男,100,3,1,Laboratory Technician,4,已婚,2523,19299,0,Y,否,14,3,3,80,1,3,2,3,2,1,2,1
49,否,偶尔出差,470,Research & Development,20,4,Medical,1,170,3,女,96,3,2,Manufacturing Director,1,已婚,6567,5549,1,Y,否,14,3,3,80,0,16,2,2,15,11,5,11
43,否,经常出差,957,Research & Development,28,3,Medical,1,171,2,女,72,4,1,Research Scientist,3,单身,4739,16090,4,Y,否,12,3,4,80,0,18,2,3,3,2,1,2
50,否,经常出差,809,Sales,12,3,Marketing,1,174,3,女,77,3,3,Sales Executive,4,单身,9208,6645,4,Y,否,11,3,4,80,0,16,3,3,2,2,2,1
31,是,偶尔出差,542,Sales,20,3,Life Sciences,1,175,2,女,71,1,2,Sales Executive,3,已婚,4559,24788,3,Y,是,11,3,3,80,1,4,2,3,2,2,2,2
41,否,偶尔出差,802,Sales,9,1,Life Sciences,1,176,3,男,96,3,3,Sales Executive,3,离异,8189,21196,3,Y,是,13,3,3,80,1,12,2,3,9,7,0,7
26,否,偶尔出差,1355,Human Resources,25,1,Life Sciences,1,177,3,女,61,3,1,Human Resources,3,已婚,2942,8916,1,Y,否,23,4,4,80,1,8,3,3,8,7,5,7
36,否,偶尔出差,216,Research & Development,6,2,Medical,1,178,2,男,84,3,2,Manufacturing Director,2,离异,4941,2819,6,Y,否,20,4,4,80,2,7,0,3,3,2,0,1
51,是,经常出差,1150,Research & Development,8,4,Life Sciences,1,179,1,男,53,1,3,Manufacturing Director,4,单身,10650,25150,2,Y,否,15,3,4,80,0,18,2,3,4,2,0,3
39,否,偶尔出差,1329,Sales,4,4,Life Sciences,1,182,4,女,47,2,2,Sales Executive,3,已婚,5902,14590,4,Y,否,14,3,3,80,1,17,1,4,15,11,5,9
25,否,偶尔出差,959,Sales,28,3,Life Sciences,1,183,1,男,41,2,2,Sales Executive,3,已婚,8639,24835,2,Y,否,18,3,4,80,0,6,3,3,2,2,2,2
30,否,偶尔出差,1240,Human Resources,9,3,Human Resources,1,184,3,男,48,3,2,Human Resources,4,已婚,6347,13982,0,Y,是,19,3,4,80,0,12,2,1,11,9,4,7
32,是,偶尔出差,1033,Research & Development,9,3,Medical,1,190,1,女,41,3,1,Laboratory Technician,1,单身,4200,10224,7,Y,否,22,4,1,80,0,10,2,4,5,4,0,4
45,否,偶尔出差,1316,Research & Development,29,3,Medical,1,192,3,男,83,3,1,Research Scientist,4,单身,3452,9752,5,Y,否,13,3,2,80,0,9,2,2,6,5,0,3
38,否,偶尔出差,364,Research & Development,3,5,Technical Degree,1,193,4,女,32,3,2,Research Scientist,3,单身,4317,2302,3,Y,是,20,4,2,80,0,19,2,3,3,2,2,2
30,否,偶尔出差,438,Research & Development,18,3,Life Sciences,1,194,1,女,75,3,1,Research Scientist,3,单身,2632,23910,1,Y,否,14,3,3,80,0,5,4,2,5,4,0,4
32,否,经常出差,689,Sales,9,2,Medical,1,195,4,男,35,1,2,Sales Executive,4,离异,4668,22812,0,Y,否,17,3,4,80,3,9,2,4,8,7,0,7
30,否,偶尔出差,201,Research & Development,5,3,Technical Degree,1,197,4,女,84,3,1,Research Scientist,1,离异,3204,10415,5,Y,否,14,3,4,80,1,8,3,3,3,2,2,2
30,否,偶尔出差,1427,Research & Development,2,1,Medical,1,198,2,男,35,2,1,Laboratory Technician,4,单身,2720,11162,0,Y,否,13,3,4,80,0,6,3,3,5,3,1,2
41,否,经常出差,857,Research & Development,10,3,Life Sciences,1,199,4,男,91,2,4,Manager,1,离异,17181,12888,4,Y,否,13,3,2,80,1,21,2,2,7,6,7,7
